id_venda,data_venda,id_cliente,id_produto,quantidade
144,2024-02-20,68,26,68
145,2024-01-11,79,43,407
146,2024-01-12,88,15,355
147,2024-06-25,54,11,416
148,2024-05-12,8,7,19
149,2024-01-08,74,24,268
150,2024-02-03,60,44,463
151,2024-04-13,63,3,69
152,2024-01-18,66,13,109
153,2024-05-03,87,40,387
154,2024-03-15,77,23,361
155,2024-05-11,58,13,152
156,2024-05-29,100,39,174
157,2024-02-01,36,28,205
158,2024-06-01,6,9,423
159,2024-04-13,41,47,409
160,2024-05-29,58,41,287
161,2024-02-21,91,33,495
162,2024-03-13,75,21,406
163,2024-01-12,17,43,424
164,2024-03-18,19,18,67
165,2024-03-15,1,39,105
166,2024-01-11,6,17,191
167,2024-03-19,23,35,42
168,2024-06-04,2,1,167
169,2024-02-28,36,48,481
170,2024-03-26,81,3,457
171,2024-04-22,47,39,197
172,2024-01-15,9,21,300
173,2024-03-26,16,11,26
174,2024-06-10,97,28,367
175,2024-03-26,53,19,264
176,2024-03-16,94,44,377
177,2024-03-24,92,37,299
178,2024-05-18,9,14,197
179,2024-04-22,12,6,366
180,2024-01-08,6,14,238
181,2024-03-18,6,31,24
182,2024-02-05,39,11,164
183,2024-02-20,51,12,428
184,2024-06-11,71,40,421
185,2024-05-24,25,47,64
186,2024-03-06,83,47,175
187,2024-03-23,59,16,348
188,2024-03-02,55,16,445
189,2024-04-24,98,1,353
190,2024-02-05,61,36,187
191,2024-03-17,49,7,101
192,2024-06-22,78,17,232
193,2024-04-08,55,16,312
194,2024-01-01,81,24,267
195,2024-02-08,67,36,377
196,2024-01-19,87,25,237
197,2024-03-17,5,28,338
198,2024-05-27,31,11,367
199,2024-05-17,58,45,421
200,2024-01-12,7,43,124
201,2024-02-23,77,41,406
202,2024-02-17,84,8,394
203,2024-02-10,53,32,358
204,2024-04-10,25,20,237
205,2024-06-20,50,12,17
206,2024-04-07,32,2,89
207,2024-03-17,40,35,216
208,2024-03-03,2,50,42
209,2024-03-04,100,44,392
210,2024-01-31,22,49,314
211,2024-01-14,78,4,445
212,2024-02-13,84,14,53
213,2024-02-20,64,32,246
214,2024-01-15,67,16,395
215,2024-06-01,65,26,60
216,2024-06-12,84,32,172
217,2024-05-10,99,31,144
218,2024-02-21,79,20,152
219,2024-05-09,2,8,347
220,2024-01-12,24,1,249
221,2024-01-04,24,14,85
222,2024-05-18,74,42,317
223,2024-03-27,27,12,445
224,2024-04-10,1,40,141
225,2024-04-07,65,4,100
226,2024-05-10,39,5,441
227,2024-05-30,19,5,268
228,2024-03-30,1,8,206
229,2024-05-11,20,39,457
230,2024-05-11,91,29,334
231,2024-06-07,53,30,168
232,2024-03-14,57,34,87
233,2024-03-08,66,14,100
234,2024-01-13,30,48,463
235,2024-05-09,45,45,477
236,2024-02-23,55,16,453
237,2024-04-15,76,41,478
238,2024-06-13,75,2,476
239,2024-05-06,92,37,346
240,2024-02-07,75,48,21
241,2024-06-01,61,32,348
242,2024-03-21,23,25,328
243,2024-06-22,51,16,22
244,2024-05-28,51,46,241
245,2024-04-23,54,12,422
246,2024-02-11,11,22,497
247,2024-02-15,27,41,425
248,2024-02-08,93,10,394
249,2024-06-21,21,11,365
250,2024-05-16,71,48,156
251,2024-02-17,94,15,105
252,2024-01-12,66,22,355
253,2024-04-06,57,8,44
254,2024-03-22,71,41,484
255,2024-03-23,73,10,285
256,2024-03-08,86,49,90
257,2024-04-20,5,21,352
258,2024-02-25,61,41,100
259,2024-01-10,99,5,249
260,2024-05-03,35,41,406
261,2024-05-08,40,24,355
262,2024-06-21,66,4,416
263,2024-04-03,66,47,173
264,2024-03-14,99,11,426
265,2024-06-04,19,21,319
266,2024-04-28,79,42,276
267,2024-04-24,98,9,131
268,2024-06-23,21,37,47
269,2024-01-01,61,27,340
270,2024-03-11,77,28,88
271,2024-04-19,48,29,167
272,2024-01-18,63,23,311
273,2024-02-29,51,10,60
274,2024-04-01,95,30,231
275,2024-01-28,67,12,133
276,2024-06-12,33,16,421
277,2024-03-12,11,12,262
278,2024-02-26,89,12,91
279,2024-05-14,33,21,363
280,2024-06-30,32,39,305
281,2024-06-28,3,16,54
282,2024-01-16,76,5,143
283,2024-01-09,11,6,266
284,2024-06-15,19,13,405
285,2024-06-04,95,7,260
286,2024-01-31,53,29,282
287,2024-03-26,87,23,412
288,2024-02-28,4,45,53
289,2024-06-24,34,15,101
290,2024-05-28,58,5,475
291,2024-02-26,37,2,498
292,2024-02-01,100,32,403
293,2024-03-29,15,1,446
294,2024-06-06,16,45,299
295,2024-05-11,35,50,81
296,2024-04-15,83,5,212
297,2024-01-10,18,11,45
298,2024-04-25,25,44,182
299,2024-01-06,20,3,374
300,2024-06-28,4,30,112
301,2024-05-08,32,34,25
302,2024-06-11,9,45,218
303,2024-04-06,78,28,77
304,2024-03-03,24,40,261
305,2024-06-06,100,14,299
306,2024-01-23,50,42,440
307,2024-05-25,45,33,371
308,2024-03-31,98,44,19
309,2024-02-01,58,17,480
310,2024-05-26,25,8,436
311,2024-06-15,17,6,389
312,2024-06-26,79,2,365
313,2024-05-29,6,25,251
314,2024-05-26,14,27,89
315,2024-03-15,91,11,101
316,2024-04-25,75,42,202
317,2024-01-06,24,44,350
318,2024-03-30,77,5,439
319,2024-04-23,95,3,254
320,2024-04-02,24,37,372
321,2024-01-07,15,30,87
322,2024-06-22,34,9,488
323,2024-03-05,14,28,131
324,2024-05-29,69,28,466
325,2024-06-26,17,16,490
326,2024-04-05,88,4,235
327,2024-04-30,5,40,465
328,2024-04-22,80,5,201
329,2024-01-21,40,2,380
330,2024-01-14,28,39,305
331,2024-03-16,22,12,161
332,2024-04-30,44,38,299
333,2024-04-09,20,8,390
334,2024-02-24,74,38,155
335,2024-06-24,20,11,382
336,2024-04-08,36,11,188
337,2024-05-27,62,49,451
338,2024-05-29,17,14,160
339,2024-06-20,36,10,257
340,2024-03-12,67,33,309
341,2024-04-16,30,37,333
342,2024-01-02,96,25,350
343,2024-04-27,96,36,75
344,2024-03-02,46,33,128
345,2024-04-09,45,1,100
346,2024-05-06,86,29,319
347,2024-06-15,63,16,487
348,2024-05-14,61,15,379
349,2024-02-07,95,33,472
350,2024-01-12,75,14,49
351,2024-03-21,22,36,480
352,2024-05-27,69,43,276
353,2024-03-06,47,45,369
354,2024-06-06,13,11,241
355,2024-06-22,52,16,328
356,2024-02-01,1,29,483
357,2024-05-23,14,9,17
358,2024-04-19,40,6,167
359,2024-03-28,92,46,230
360,2024-03-18,38,21,192
361,2024-04-18,98,32,202
362,2024-05-07,31,40,48
363,2024-04-30,93,20,257
364,2024-04-05,97,50,86
365,2024-01-11,60,47,226
366,2024-04-22,53,28,367
367,2024-05-08,74,43,483
368,2024-01-20,18,21,323
369,2024-02-12,99,9,478
370,2024-01-09,15,40,469
371,2024-06-21,96,31,269
372,2024-04-21,13,44,28
373,2024-04-07,7,49,139
374,2024-02-24,81,27,194
375,2024-02-28,75,5,391
376,2024-04-16,68,47,224
377,2024-04-11,51,6,348
378,2024-06-29,46,25,345
379,2024-05-16,89,26,286
380,2024-01-05,25,4,398
381,2024-06-06,36,48,395
382,2024-03-16,26,40,435
383,2024-05-20,81,7,427
384,2024-03-06,6,34,147
385,2024-04-09,6,16,220
386,2024-03-21,3,25,330
387,2024-06-22,12,50,291
388,2024-01-13,33,31,155
389,2024-01-15,48,9,407
390,2024-04-12,42,12,21
391,2024-06-02,26,41,140
392,2024-06-05,86,41,463
393,2024-01-05,79,49,498
394,2024-02-26,76,17,153
395,2024-02-13,28,24,133
396,2024-02-26,15,8,297
397,2024-06-06,81,23,291
398,2024-02-26,63,13,497
399,2024-06-18,29,43,149
400,2024-02-06,37,40,72
401,2024-06-18,55,14,146
402,2024-03-06,60,32,310
403,2024-06-24,71,37,266
404,2024-06-08,36,46,293
405,2024-05-09,59,21,120
406,2024-03-20,84,30,13
407,2024-05-18,91,11,99
408,2024-03-15,49,39,166
409,2024-03-31,77,7,365
410,2024-05-17,26,48,235
411,2024-05-03,46,22,245
412,2024-02-20,37,1,447
413,2024-02-09,20,19,424
414,2024-04-15,77,20,475
415,2024-05-05,37,36,430
416,2024-04-21,92,39,163
417,2024-02-18,77,2,362
418,2024-05-28,83,10,127
419,2024-01-05,39,31,465
420,2024-04-13,7,19,447
421,2024-06-01,2,41,386
422,2024-05-11,9,12,437
423,2024-02-05,53,1,454
424,2024-01-27,68,26,59
425,2024-06-04,60,28,260
426,2024-01-05,44,4,377
427,2024-03-04,11,14,476
428,2024-03-23,65,33,266
429,2024-04-08,83,45,366
430,2024-03-23,84,21,172
431,2024-03-12,88,29,227
432,2024-01-30,22,24,356
433,2024-03-10,92,33,378
434,2024-03-10,39,39,100
435,2024-05-27,72,49,180
436,2024-02-15,35,6,497
437,2024-01-15,33,37,473
438,2024-03-07,44,23,432
439,2024-03-07,4,18,249
440,2024-03-05,73,10,134
441,2024-04-09,24,3,26
442,2024-05-13,59,43,366
443,2024-01-07,40,49,471
444,2024-05-09,52,42,234
445,2024-01-28,80,9,191
446,2024-02-23,8,14,97
447,2024-01-31,100,42,15
448,2024-05-01,84,31,124
449,2024-01-02,32,49,60
450,2024-03-10,6,29,60
451,2024-01-22,32,33,399
452,2024-01-18,5,38,415
453,2024-04-18,89,21,194
454,2024-04-04,79,43,204
455,2024-01-01,87,3,444
456,2024-03-13,58,5,208
457,2024-06-09,89,24,30
458,2024-05-31,19,50,207
459,2024-06-13,7,27,286
460,2024-03-04,46,13,258
461,2024-05-19,34,10,459
462,2024-05-20,93,4,458
463,2024-05-07,31,2,165
464,2024-02-20,29,41,83
465,2024-01-19,85,8,416
466,2024-01-24,93,20,492
467,2024-05-22,28,33,266
468,2024-01-29,23,29,97
469,2024-06-13,75,39,24
470,2024-02-03,55,29,300
471,2024-05-24,99,43,188
472,2024-04-30,1,25,376
473,2024-01-22,22,27,264
474,2024-05-02,40,20,468
475,2024-01-25,26,13,396
476,2024-06-19,77,18,156
477,2024-01-15,75,9,391
478,2024-06-13,16,38,34
479,2024-01-12,41,29,44
480,2024-03-23,47,26,220
481,2024-05-12,25,43,306
482,2024-06-09,46,30,404
483,2024-01-15,56,39,50
484,2024-02-13,35,41,283
485,2024-03-09,68,37,218
486,2024-06-25,87,6,354
487,2024-04-13,77,45,365
488,2024-06-18,71,5,10
489,2024-03-12,21,18,487
490,2024-04-04,19,25,64
491,2024-06-02,21,50,179
492,2024-05-15,73,28,471
493,2024-06-20,80,39,334
494,2024-02-17,52,42,235
495,2024-06-09,1,36,50
496,2024-06-07,97,4,153
497,2024-02-28,9,26,64
498,2024-01-23,71,29,151
499,2024-01-13,56,23,409
500,2024-01-05,35,18,437
501,2024-06-21,64,37,82
502,2024-05-02,63,33,311
503,2024-06-21,18,46,50
504,2024-03-25,35,16,224
505,2024-05-17,13,3,445
506,2024-03-23,40,40,341
507,2024-05-30,47,19,40
508,2024-02-03,69,38,326
509,2024-02-12,25,2,412
510,2024-01-15,88,45,67
511,2024-05-04,69,20,124
512,2024-01-20,78,3,489
513,2024-05-25,77,15,71
514,2024-04-02,87,21,461
515,2024-03-25,17,14,147
516,2024-05-20,1,21,396
517,2024-04-17,80,1,125
518,2024-03-11,22,11,96
519,2024-04-09,57,29,380
520,2024-04-02,63,3,17
521,2024-03-26,68,16,198
522,2024-05-24,48,7,411
523,2024-05-02,26,35,300
524,2024-05-08,95,14,47
525,2024-05-05,3,42,400
526,2024-03-05,50,41,115
527,2024-01-14,50,5,217
528,2024-06-12,9,37,301
529,2024-02-08,54,25,350
530,2024-01-02,92,49,169
531,2024-03-11,64,21,122
532,2024-03-28,6,18,434
533,2024-04-30,21,6,446
534,2024-01-14,98,22,332
535,2024-03-17,74,37,34
536,2024-06-24,42,45,72
537,2024-05-22,69,31,76
538,2024-04-03,62,10,239
539,2024-04-07,1,21,282
540,2024-05-22,42,17,457
541,2024-04-06,44,40,490
542,2024-05-27,92,38,343
543,2024-02-26,82,4,231
544,2024-06-09,3,46,92
545,2024-02-04,69,7,407
546,2024-03-05,96,39,338
547,2024-02-08,53,44,136
548,2024-02-24,82,41,295
549,2024-05-11,26,34,23
550,2024-03-21,15,15,299
551,2024-05-22,72,26,419
552,2024-03-28,46,20,33
553,2024-03-27,88,27,45
554,2024-02-10,46,15,217
555,2024-02-02,41,18,18
556,2024-06-03,81,36,178
557,2024-06-17,97,26,139
558,2024-06-17,18,2,286
559,2024-01-18,57,40,252
560,2024-05-26,95,4,497
561,2024-05-18,21,49,390
562,2024-01-12,2,47,322
563,2024-03-22,68,19,388
564,2024-05-07,46,6,358
565,2024-04-22,91,24,413
566,2024-03-11,18,38,98
567,2024-01-28,55,17,135
568,2024-02-24,20,49,93
569,2024-03-29,97,11,138
570,2024-04-10,67,47,404
571,2024-02-16,71,17,168
572,2024-02-26,79,21,187
573,2024-01-24,46,37,23
574,2024-04-27,48,13,389
575,2024-03-16,92,4,405
576,2024-01-08,3,19,290
577,2024-02-18,88,25,32
578,2024-06-28,52,27,103
579,2024-05-27,98,12,343
580,2024-04-26,23,21,266
581,2024-02-01,9,1,68
582,2024-03-02,53,43,467
583,2024-01-14,22,19,416
584,2024-05-22,69,25,331
585,2024-05-05,48,44,387
586,2024-03-09,52,37,491
587,2024-05-25,99,8,467
588,2024-02-09,67,9,160
589,2024-06-12,63,49,118
590,2024-05-22,67,47,144
591,2024-05-05,79,18,371
592,2024-04-13,49,29,412
593,2024-03-14,49,45,412
594,2024-02-23,85,22,50
595,2024-01-23,14,9,12
596,2024-03-29,65,40,116
597,2024-04-28,81,11,307
598,2024-01-05,26,48,326
599,2024-04-06,6,24,443
600,2024-05-11,35,43,160
601,2024-04-07,21,23,110
602,2024-01-27,14,33,379
603,2024-01-27,19,7,298
604,2024-05-04,80,47,446
605,2024-05-21,62,11,286
606,2024-01-21,71,29,426
607,2024-03-13,68,27,382
608,2024-06-27,34,50,385
609,2024-03-24,78,30,305
610,2024-03-14,25,9,466
611,2024-01-03,61,17,432
612,2024-03-03,16,28,264
613,2024-06-12,77,49,304
614,2024-02-09,51,24,46
615,2024-04-24,80,2,49
616,2024-05-30,42,40,421
617,2024-01-08,13,10,452
618,2024-04-14,90,37,300
619,2024-01-28,17,32,472
620,2024-05-29,29,14,412
621,2024-06-20,55,33,24
622,2024-06-28,81,39,178
623,2024-05-18,80,34,85
624,2024-01-12,85,42,403
625,2024-03-02,79,48,161
626,2024-05-15,12,20,112
627,2024-06-11,70,1,294
628,2024-03-19,60,47,26
629,2024-05-20,19,34,235
630,2024-03-14,65,35,138
631,2024-01-05,73,24,144
632,2024-01-11,47,29,122
633,2024-02-29,48,32,472
634,2024-06-30,7,17,474
635,2024-05-09,39,42,452
636,2024-03-30,39,32,380
637,2024-01-06,96,12,306
638,2024-04-23,76,12,141
639,2024-02-08,77,10,435
640,2024-02-05,99,32,373
641,2024-06-27,17,45,431
642,2024-01-30,19,47,77
643,2024-04-11,61,6,103
644,2024-04-16,21,49,109
645,2024-02-15,63,37,377
646,2024-06-22,91,9,274
647,2024-06-13,91,7,87
648,2024-06-26,34,11,127
649,2024-03-31,81,47,142
650,2024-02-03,77,38,300
651,2024-02-06,19,7,403
652,2024-03-18,39,47,178
653,2024-06-05,27,45,478
654,2024-04-13,74,15,179
655,2024-04-05,5,31,165
656,2024-03-19,12,22,91
657,2024-05-23,23,30,241
658,2024-02-25,69,36,200
659,2024-06-15,19,3,454
660,2024-03-11,8,21,150
661,2024-04-27,43,5,345
662,2024-06-24,34,43,200
663,2024-04-06,53,11,44
664,2024-02-21,83,39,425
665,2024-03-02,93,41,244
666,2024-01-20,17,32,331
667,2024-03-19,50,34,143
668,2024-01-16,54,17,341
669,2024-06-05,65,5,374
670,2024-04-16,20,19,387
671,2024-05-08,44,37,310
672,2024-03-25,31,18,185
673,2024-04-13,3,30,203
674,2024-02-21,100,20,421
675,2024-04-12,93,16,302
676,2024-02-07,16,31,17
677,2024-02-29,5,50,465
678,2024-02-27,96,3,191
679,2024-04-18,95,45,113
680,2024-03-24,94,34,225
681,2024-01-11,58,49,330
682,2024-01-24,63,50,254
683,2024-06-06,27,40,358
684,2024-05-05,11,41,411
685,2024-06-12,35,41,448
686,2024-06-12,42,48,336
687,2024-05-03,30,50,319
688,2024-03-24,6,35,90
689,2024-04-29,32,18,412
690,2024-04-01,36,22,291
691,2024-01-21,56,3,204
692,2024-02-22,24,42,217
693,2024-05-09,1,46,184
694,2024-03-02,44,29,250
695,2024-02-05,5,20,411
696,2024-05-22,12,4,303
697,2024-05-20,16,25,349
698,2024-02-06,61,47,210
699,2024-04-17,84,30,162
700,2024-02-07,30,19,142
701,2024-05-04,4,11,269
702,2024-01-22,86,30,426
703,2024-02-20,65,6,19
704,2024-03-23,50,2,360
705,2024-02-14,31,17,43
706,2024-06-07,6,33,298
707,2024-02-17,47,18,303
708,2024-03-08,82,44,155
709,2024-02-28,2,40,351
710,2024-06-21,23,5,164
711,2024-06-03,31,43,464
712,2024-01-04,55,13,95
713,2024-03-24,3,18,243
714,2024-01-25,9,42,274
715,2024-05-14,28,31,48
716,2024-05-03,61,37,24
717,2024-05-21,52,10,419
718,2024-05-17,57,41,176
719,2024-05-13,64,28,471
720,2024-06-17,20,39,286
721,2024-01-04,75,35,83
722,2024-06-09,37,33,25
723,2024-02-18,87,40,46
724,2024-06-15,52,39,61
725,2024-01-28,4,34,480
726,2024-01-15,39,31,203
727,2024-03-10,24,18,19
728,2024-03-04,50,44,36
729,2024-06-23,49,2,164
730,2024-05-22,4,49,361
731,2024-05-14,30,26,340
732,2024-06-04,90,35,212
733,2024-04-03,19,25,136
734,2024-01-13,84,37,465
735,2024-03-05,16,49,323
736,2024-05-14,29,43,460
737,2024-01-11,82,47,394
738,2024-01-11,36,18,42
739,2024-05-27,76,39,431
740,2024-01-13,86,19,28
741,2024-06-22,65,22,428
742,2024-01-26,44,20,310
743,2024-06-15,81,3,159
744,2024-01-29,77,13,69
745,2024-02-06,79,25,469
746,2024-04-05,99,49,185
747,2024-01-16,69,43,57
748,2024-01-14,41,28,233
749,2024-02-13,12,26,364
750,2024-03-25,63,30,475
751,2024-05-08,19,43,497
752,2024-02-02,60,25,131
753,2024-01-11,90,7,189
754,2024-01-09,26,23,324
755,2024-05-27,1,38,292
756,2024-03-14,84,48,85
757,2024-01-05,44,12,136
758,2024-03-22,27,35,271
759,2024-03-02,92,37,59
760,2024-06-01,33,5,359
761,2024-02-09,79,12,178
762,2024-04-19,41,10,38
763,2024-06-28,14,19,225
764,2024-02-11,93,2,261
765,2024-06-13,50,38,221
766,2024-05-09,7,14,304
767,2024-01-20,4,2,120
768,2024-03-25,88,34,447
769,2024-05-13,83,31,247
770,2024-05-04,91,22,464
771,2024-03-29,59,41,232
772,2024-04-27,58,15,122
773,2024-01-18,27,31,52
774,2024-06-25,16,4,277
775,2024-04-14,91,22,455
776,2024-02-04,5,8,217
777,2024-01-31,69,39,91
778,2024-05-12,2,31,129
779,2024-05-24,92,14,321
780,2024-05-07,59,43,16
781,2024-04-15,51,34,115
782,2024-03-27,39,23,203
783,2024-06-04,65,25,325
784,2024-04-06,41,40,352
785,2024-04-20,76,47,244
786,2024-05-08,2,12,399
787,2024-03-05,23,20,276
788,2024-05-08,47,32,328
789,2024-03-26,74,39,406
790,2024-03-09,100,38,427
791,2024-03-15,5,10,89
792,2024-01-12,1,17,362
793,2024-03-20,77,6,434
794,2024-05-04,40,11,326
795,2024-04-15,88,50,192
796,2024-04-27,2,41,134
797,2024-01-02,20,29,362
798,2024-03-02,38,48,407
799,2024-01-12,18,20,75
800,2024-04-03,40,13,120
801,2024-05-24,70,7,87
802,2024-06-15,22,9,203
803,2024-05-08,95,45,452
804,2024-03-04,99,32,487
805,2024-03-05,91,18,206
806,2024-06-23,56,13,392
807,2024-04-28,84,19,66
808,2024-06-13,78,19,383
809,2024-03-11,63,19,352
810,2024-05-27,20,32,209
811,2024-01-27,30,7,405
812,2024-04-30,9,12,456
813,2024-01-04,61,18,372
814,2024-02-15,71,38,228
815,2024-03-05,88,4,124
816,2024-02-04,83,38,437
817,2024-01-31,17,20,235
818,2024-01-14,5,31,179
819,2024-03-24,25,11,234
820,2024-03-15,77,42,326
821,2024-04-24,73,43,483
822,2024-02-12,45,14,342
823,2024-01-31,52,4,399
824,2024-04-19,67,6,22
825,2024-01-19,27,14,329
826,2024-02-05,52,1,117
827,2024-05-18,26,32,453
828,2024-04-20,67,24,96
829,2024-04-29,3,9,222
830,2024-04-25,73,48,495
831,2024-03-30,6,41,31
832,2024-04-29,17,35,278
833,2024-05-18,9,13,309
834,2024-04-19,35,26,365
835,2024-03-23,41,3,386
836,2024-05-28,78,12,422
837,2024-05-25,96,36,484
838,2024-02-04,21,21,471
839,2024-01-23,72,35,228
840,2024-05-28,45,40,375
841,2024-06-11,85,47,191
842,2024-03-17,85,19,45
843,2024-05-19,26,16,276
844,2024-02-18,81,46,466
845,2024-02-12,59,8,204
846,2024-06-20,41,37,50
847,2024-02-13,97,4,251
848,2024-01-29,21,30,416
849,2024-01-17,100,44,446
850,2024-01-28,58,13,286
851,2024-04-08,5,8,126
852,2024-05-25,43,24,448
853,2024-06-16,93,42,472
854,2024-03-10,44,12,173
855,2024-06-01,46,12,206
856,2024-02-28,53,29,100
857,2024-03-24,4,42,436
858,2024-04-22,90,11,383
859,2024-02-19,76,46,389
860,2024-02-05,74,23,469
861,2024-03-31,8,32,437
862,2024-01-18,53,39,40
863,2024-03-31,49,38,455
864,2024-05-23,57,41,67
865,2024-05-18,89,41,419
866,2024-06-28,22,32,382
867,2024-04-24,30,49,254
868,2024-02-18,34,44,87
869,2024-06-23,53,42,305
870,2024-06-21,13,50,221
871,2024-05-06,24,12,450
872,2024-02-13,28,11,272
873,2024-06-02,46,12,336
874,2024-06-18,67,27,40
875,2024-01-13,54,30,341
876,2024-01-04,79,11,68
877,2024-02-06,43,10,231
878,2024-04-12,45,23,200
879,2024-05-21,78,36,296
880,2024-02-01,60,3,282
881,2024-06-13,97,36,97
882,2024-06-24,47,5,419
883,2024-04-16,14,47,389
884,2024-06-04,32,4,439
885,2024-01-08,33,36,232
886,2024-03-18,57,13,390
887,2024-05-21,61,37,392
888,2024-04-16,25,5,295
889,2024-03-08,96,49,314
890,2024-03-10,38,44,27
891,2024-06-02,40,2,344
892,2024-05-10,49,50,208
893,2024-01-19,11,34,20
894,2024-06-24,51,25,211
895,2024-05-18,82,21,472
896,2024-04-03,55,28,382
897,2024-06-15,34,47,317
898,2024-04-14,78,15,283
899,2024-05-02,73,49,377
900,2024-03-12,80,20,66
901,2024-04-25,32,46,327
902,2024-03-10,54,11,275
903,2024-05-23,85,39,67
904,2024-01-22,31,21,178
905,2024-05-04,72,20,491
906,2024-06-04,54,18,97
907,2024-05-07,11,28,484
908,2024-01-13,29,1,157
909,2024-05-17,63,4,419
910,2024-02-05,86,35,435
911,2024-02-01,2,4,276
912,2024-05-08,55,9,26
913,2024-02-26,95,19,53
914,2024-04-04,60,38,374
915,2024-01-04,90,48,79
916,2024-03-02,50,12,100
917,2024-03-01,2,20,145
918,2024-04-07,5,12,44
919,2024-03-07,96,23,96
920,2024-03-19,83,34,427
921,2024-04-01,27,41,484
922,2024-02-25,56,28,462
923,2024-04-13,45,20,209
924,2024-02-23,48,28,160
925,2024-06-13,5,2,64
926,2024-06-25,65,4,35
927,2024-04-15,24,46,264
928,2024-01-20,12,45,341
929,2024-01-15,88,46,106
